ENSG00000044459	19531	220095_at
ENSG00000131759	4231,15986,4232,1136	203749_s_at,216300_x_at,203750_s_at,211605_s_at
ENSG00000142494	18983	219525_at
ENSG00000010704	14356,11238,1135,10819,11239,11240,11733,6359,11241,11237,6358,11736,11236	214647_s_at,211328_x_at,211330_s_at,210864_x_at,211329_x_at,211331_x_at,211863_x_at,206087_x_at,211332_x_at,211327_x_at,206086_x_at,211866_x_at,211326_x_at
ENSG00000123104	3375,3376,3374,11266	202661_at,202662_s_at,202660_at,211360_s_at
ENSG00000118705	1516,8831,13235	213399_x_at,208689_s_at,213491_x_at
ENSG00000004142	17455	217806_s_at
ENSG00000175334	10133	210125_s_at
ENSG00000105726	17662	218052_s_at
ENSG00000197497	20189	220760_x_at
ENSG00000090339	806	202637_s_at
ENSG00000125485	18802	219328_at
ENSG00000166681	17585	217963_s_at
ENSG00000083457	410	205055_at
ENSG00000136231	16177,16176,4295,4294	216494_at,216493_s_at,203820_s_at,203819_s_at
ENSG00000197818	12721	212947_at
ENSG00000151150	9500,6646,8142	209442_x_at,206385_s_at,207950_s_at
ENSG00000065802	12612,12611	212819_at,212818_s_at
ENSG00000100697	15947,15966,6336,15967,12985,12669	216260_at,216280_s_at,206061_s_at,216281_at,213229_at,212888_at
ENSG00000121680	20999,20998,22063	221604_s_at,221603_at,49878_at
ENSG00000103342	17260,2774,15134	217595_at,201912_s_at,215438_x_at
ENSG00000070061	190	202491_s_at
ENSG00000143382	20010	220578_at
ENSG00000140307	208	202678_at
ENSG00000108349	454	207842_s_at
ENSG00000213903	10136,16071	210128_s_at,216388_s_at
ENSG00000100461	19259	219816_s_at
ENSG00000166851	797	202240_at
ENSG00000227345	5409	205060_at
ENSG00000184056	22003,17979	44111_at,218415_at
ENSG00000105928	4188	203695_s_at
ENSG00000185339	4496	204043_at
ENSG00000058063	553	212536_at
ENSG00000133026	12211,12836	212372_at,213067_at
ENSG00000137075	18080	218528_s_at
ENSG00000170128	20775	221363_x_at
ENSG00000165525	18181	218649_x_at
ENSG00000054611	10152,9686,21807	210144_at,209650_s_at,33778_at
ENSG00000076928	3676	203055_s_at
ENSG00000047056	11289	211383_s_at
ENSG00000108021	17909	218331_s_at
ENSG00000204590	3870	203307_at
ENSG00000150961	14907,15334,3149	215209_at,215641_at,202375_at
ENSG00000129596	4596	204154_at
ENSG00000077721	128	201899_s_at
ENSG00000161011	782	201471_s_at
ENSG00000131788	3661	203035_s_at
ENSG00000151148	547	212403_at
ENSG00000104904	1260,15641	200077_s_at,215952_s_at
ENSG00000121989	5652	205327_s_at
ENSG00000109971	896	208687_x_at
ENSG00000197124	16151	216468_s_at
ENSG00000130741	5647	205321_at
ENSG00000124688	1049	203094_at
ENSG00000160695	3860	203292_s_at
ENSG00000149596	19817	220385_at
ENSG00000143543	1676,10427,1231	200048_s_at,210434_x_at,210927_x_at
ENSG00000151239	13735,2645,13734	214008_at,201745_at,214007_s_at
ENSG00000166086	12607	212813_at
ENSG00000125991	14954,15720	215257_at,216032_s_at
ENSG00000204519	11608	211721_s_at
ENSG00000099949	3952	203412_at
ENSG00000108511	5688,5689	205365_at,205366_s_at
ENSG00000204859	5382	205025_at
ENSG00000141198	4903	204485_s_at
ENSG00000148719	3525,3524,1043,14053	202867_s_at,202865_at,202866_at,214338_at
ENSG00000106012	4641,16797	204202_at,217124_at
ENSG00000141527	20030,20031	220598_at,220599_s_at
ENSG00000007129	14610,16285	214907_at,216605_s_at
ENSG00000156011	18149,3907,3906	218613_at,203355_s_at,203354_s_at
ENSG00000171532	10268	210271_at
ENSG00000186185	21417	222039_at
ENSG00000095321	9573,6128	209522_s_at,205843_x_at
ENSG00000134440	1659	200027_at
ENSG00000082212	520	210153_s_at
ENSG00000165704	244	202854_at
ENSG00000166147	3449,3448	202766_s_at,202765_s_at
ENSG00000123064	18596	219111_s_at
ENSG00000151790	6223	205943_at
ENSG00000212710	20384	220957_at
ENSG00000176101	10372	210378_s_at
ENSG00000147408	18543	219049_at
ENSG00000100387	1546	218117_at
ENSG00000160049	817	203277_at
ENSG00000178498	21400,21218,22054,22053	222022_at,221835_at,49051_g_at,49049_at
ENSG00000196235	2445	201480_s_at
ENSG00000092820	8777,16901,8776,16905,8778	208622_s_at,217230_at,208621_s_at,217234_s_at,208623_s_at
ENSG00000105321	6521	206257_at
ENSG00000152268	9494,9495,13721,13722	209436_at,209437_s_at,213993_at,213994_s_at
ENSG00000164120	4381,11442,11441,4382	203913_s_at,211549_s_at,211548_s_at,203914_x_at
ENSG00000123975	4610	204170_s_at
ENSG00000188763	7856	207639_at
ENSG00000172466	12357,3826,3827	212534_at,203247_s_at,203248_at
ENSG00000066230	7446	207212_at
ENSG00000188153	1148	213110_s_at
ENSG00000122390	18192,22018	218661_at,45526_g_at
ENSG00000134215	692	218807_at
ENSG00000143545	3049	202252_at
ENSG00000158497	8475	208302_at
ENSG00000183935	15787	216099_at
ENSG00000138834	12937,15827,15825,12936	213178_s_at,216139_s_at,216137_s_at,213177_at
ENSG00000083845	754	200024_at
ENSG00000204475	11476,10727,10952	211583_x_at,210763_x_at,211010_s_at
ENSG00000187323	7183	206939_at
ENSG00000168397	12127,5271,5272	212280_x_at,204902_s_at,204903_x_at
ENSG00000071054	443	206571_s_at
ENSG00000139146	19581	220147_s_at
ENSG00000133313	616	217752_s_at
ENSG00000185187	18421	218921_at
ENSG00000087157	18863	219394_at
ENSG00000108641	5958,10515,10516	205662_at,210534_s_at,210535_at
ENSG00000197043	2042	200982_s_at
ENSG00000168591	17983	218419_s_at
ENSG00000131477	6066	205779_at
ENSG00000149541	21834,3987	35179_at,203452_at
ENSG00000106829	14395,16674,5242	214688_at,216997_x_at,204872_at
ENSG00000168175	558	212644_s_at
ENSG00000078674	156	202174_s_at
ENSG00000069424	11668,3945	211791_s_at,203402_at
ENSG00000154917	21176,10135	221792_at,210127_at
ENSG00000115661	9659	209622_at
ENSG00000112081	8816,8817,3549	208672_s_at,208673_s_at,202899_s_at
ENSG00000128567	2520	201578_at
ENSG00000241563	10186	210182_at
ENSG00000143314	17853	218270_at
ENSG00000059378	18093	218543_s_at
ENSG00000039560	145	202052_s_at
ENSG00000156958	16094,5551	216411_s_at,205219_s_at
ENSG00000178814	21403	222025_s_at
ENSG00000111344	19198	219752_at
ENSG00000104133	4039	203513_at
ENSG00000145882	18452	218953_s_at
ENSG00000106258	6054,13953,13952	205765_at,214235_at,214234_s_at
ENSG00000143320	1346	202575_at
ENSG00000134470	7603	207375_s_at
ENSG00000138829	15410,3779	215717_s_at,203184_at
ENSG00000106013	6382	206112_at
ENSG00000125686	4026,4025	203497_at,203496_s_at
ENSG00000197635	11376,4205,4204	211478_s_at,203717_at,203716_s_at
ENSG00000156873	347	203709_at
ENSG00000162419	20366	220938_s_at
ENSG00000162402	12227,12220	212388_at,212381_at
ENSG00000165959	13573,20466	213839_at,221042_s_at
ENSG00000148468	12568	212771_at
ENSG00000197943	5017	204613_at
ENSG00000126814	21331	221952_x_at
ENSG00000061656	722	219888_at
ENSG00000175189	7904	207687_at
ENSG00000035141	15637	215947_s_at
ENSG00000058335	15381,14608,10530	215688_at,214905_at,210550_s_at
ENSG00000064419	14261,12159,12158	214550_s_at,212318_at,212317_at
ENSG00000138772	9432	209369_at
ENSG00000115365	2861,2860	202020_s_at,202019_s_at
ENSG00000028116	5467	205126_at
ENSG00000108270	9254	209165_at
ENSG00000149554	855	205393_s_at
ENSG00000110375	8064	207862_at
ENSG00000108854	5897	205596_s_at
ENSG00000171310	19087	219634_at
ENSG00000181790	6355	206083_at
ENSG00000206527	12455	212640_at
ENSG00000126767	10370,10810,4122	210376_x_at,210850_s_at,203617_x_at
ENSG00000058262	17381	217716_s_at
ENSG00000100604	5093	204697_s_at
ENSG00000135473	276	203117_s_at
ENSG00000127533	7455	207221_at
ENSG00000145725	3830	203253_s_at
ENSG00000213066	13843,5888,5889	214124_x_at,205587_at,205588_s_at
ENSG00000134243	12602,12592	212807_s_at,212797_at
ENSG00000084636	4774	204345_at
ENSG00000183454	6789	206534_at
ENSG00000101182	15776,2153	216088_s_at,201114_x_at
ENSG00000205937	756	200060_s_at
ENSG00000107104	12774,16441,16442	213005_s_at,216762_at,216763_at
ENSG00000130402	1725	200601_at
ENSG00000081692	18108	218560_s_at
ENSG00000125877	9259	209171_at
ENSG00000054267	733	221230_s_at
ENSG00000130517	19332	219891_at
ENSG00000101811	4881	204459_at
ENSG00000139684	9115,14796	209009_at,215096_s_at
ENSG00000061273	17563	217937_s_at
ENSG00000176171	122	201849_at
ENSG00000126953	5549,10761	205217_at,210800_at
ENSG00000103811	3087	202295_s_at
ENSG00000174600	10632,7869	210659_at,207652_s_at
ENSG00000160224	8272	208090_s_at
ENSG00000181929	2689	201805_at
ENSG00000196378	19244	219801_at
ENSG00000004700	12693,12694,5435,10546	212917_x_at,212918_at,205091_x_at,210568_s_at
ENSG00000126602	67	201391_at
ENSG00000100197	15502,7722,17136	215809_at,207498_s_at,217468_at
ENSG00000100290	6067	205780_at
ENSG00000074201	9235	209143_s_at
ENSG00000120913	18649	219165_at
ENSG00000082196	20414	220988_s_at
ENSG00000076356	12799,1107	213030_s_at,207290_at
ENSG00000074317	8055	207853_s_at
ENSG00000105849	14435	214729_at
ENSG00000112576	786	201700_at
ENSG00000066923	19199	219753_at
ENSG00000153936	301	203285_s_at
ENSG00000001626	5395,15396,16703,15395	205043_at,215703_at,217026_at,215702_s_at
ENSG00000122515	21303,22103,20930	221924_at,54970_at,221525_at
ENSG00000075303	6008	205716_at
ENSG00000100982	22203,21148,21423,21422	89948_at,221762_s_at,222045_s_at,222044_at
ENSG00000211772	16995	217326_x_at
